date,description,amount
2025-01-01,Salary Credit,60000
2025-01-02,Swiggy Order,420
2025-01-03,Amazon Purchase,2150
2025-01-04,Uber Ride,310
2025-01-05,Electricity Bill,1800
2025-01-06,Netflix Subscription,499
2025-01-07,Petrol Pump,2400
2025-01-08,Zomato Dinner,650
2025-01-09,Flipkart Shopping,3200
2025-01-10,Mobile Recharge,399
2025-01-12,Restaurant Dinner,1250
2025-01-14,Amazon Purchase,1899
2025-01-15,Swiggy Order,540
2025-01-17,Uber Ride,280
2025-01-18,Gas Bill,950
2025-01-20,Movie Tickets,800
2025-01-22,Myntra Shopping,2750
2025-01-25,Water Bill,600
2025-01-27,Petrol Pump,2600
2025-01-30,Zomato Dinner,720

2025-02-01,Salary Credit,60000
2025-02-02,Swiggy Order,450
2025-02-03,Amazon Purchase,2400
2025-02-04,Uber Ride,350
2025-02-05,Electricity Bill,1750
2025-02-06,Hotstar Subscription,899
2025-02-07,Petrol Pump,2300
2025-02-08,Restaurant Dinner,1450
2025-02-10,Flipkart Sale,3800
2025-02-12,Mobile Recharge,349
2025-02-14,Zomato Dinner,680
2025-02-15,Swiggy Order,520
2025-02-17,Uber Ride,295
2025-02-18,Gas Bill,1000
2025-02-20,Movie Tickets,950
2025-02-22,Myntra Shopping,3100
2025-02-24,Water Bill,650
2025-02-26,Petrol Pump,2500
2025-02-28,Amazon Purchase,1999

2025-03-01,Salary Credit,60000
2025-03-02,Swiggy Order,470
2025-03-03,Amazon Purchase,2200
2025-03-04,Uber Ride,330
2025-03-05,Electricity Bill,1850
2025-03-06,Netflix Subscription,499
2025-03-07,Petrol Pump,2450
2025-03-08,Zomato Dinner,710
2025-03-10,Flipkart Shopping,3400
2025-03-12,Mobile Recharge,399
2025-03-14,Restaurant Dinner,1600
2025-03-15,Swiggy Order,590
2025-03-17,Uber Ride,310
2025-03-18,Gas Bill,980
2025-03-20,Movie Tickets,870
2025-03-22,Myntra Shopping,2900
2025-03-24,Water Bill,620
2025-03-26,Petrol Pump,2700
2025-03-28,Amazon Purchase,2300

2025-04-01,Salary Credit,65000
2025-04-02,Swiggy Order,500
2025-04-03,Amazon Purchase,2600
2025-04-04,Uber Ride,380
2025-04-05,Electricity Bill,1900
2025-04-06,Hotstar Subscription,1499
2025-04-07,Petrol Pump,2550
2025-04-08,Zomato Dinner,780
2025-04-10,Flipkart Sale,4200
2025-04-12,Mobile Recharge,449
2025-04-14,Restaurant Dinner,1750
2025-04-15,Swiggy Order,610
2025-04-17,Uber Ride,350
2025-04-18,Gas Bill,1100
2025-04-20,Movie Tickets,990
2025-04-22,Myntra Shopping,3500
2025-04-24,Water Bill,700
2025-04-26,Petrol Pump,2800
2025-04-28,Amazon Purchase,2600

2025-05-01,Salary Credit,65000
2025-05-02,Swiggy Order,520
2025-05-03,Amazon Purchase,2800
2025-05-04,Uber Ride,390
2025-05-05,Electricity Bill,2000
2025-05-06,Netflix Subscription,499
2025-05-07,Petrol Pump,2600
2025-05-08,Zomato Dinner,820
2025-05-10,Flipkart Shopping,4500
2025-05-12,Mobile Recharge,399
2025-05-14,Restaurant Dinner,1900
2025-05-15,Swiggy Order,650
2025-05-17,Uber Ride,360
2025-05-18,Gas Bill,1150
2025-05-20,Movie Tickets,1100
2025-05-22,Myntra Shopping,3700
2025-05-24,Water Bill,750
2025-05-26,Petrol Pump,2900
2025-05-28,Amazon Purchase,3000

2025-06-01,Salary Credit,70000
2025-06-02,Swiggy Order,550
2025-06-03,Amazon Purchase,3200
2025-06-04,Uber Ride,420
2025-06-05,Electricity Bill,2100
2025-06-06,Hotstar Subscription,1499
2025-06-07,Petrol Pump,3000
2025-06-08,Zomato Dinner,900
2025-06-10,Flipkart Sale,5200
2025-06-12,Mobile Recharge,499
2025-06-14,Restaurant Dinner,2100
2025-06-15,Swiggy Order,700
2025-06-17,Uber Ride,390
2025-06-18,Gas Bill,1200
2025-06-20,Movie Tickets,1300
2025-06-22,Myntra Shopping,4200
2025-06-24,Water Bill,800
2025-06-26,Petrol Pump,3200
2025-06-28,Amazon Purchase,3500